aid,view,danmaku,favorite,coin,share
37403645,182026,1472,2,912,148
37403210,267099,3825,142,505,1165
37398582,282,0,7,2,0
37314449,2130,32,151,172,20
37014275,194931,1475,2,531,46
37283463,630,0,9,31,1
37218279,330117,2445,39,2900,749
37102513,68654,5427,88,406,159
37162381,4797,56,6,175,10
37108277,20121,228,5,194,121
37108020,32549,289,5,112,40
37104106,191360,589,49,577,51
37031463,603,0,6,11,0
36805816,193304,2293,13,1338,348
37076200,2455,14,61,15,11
36997374,454,5,9,8,3
37013222,901,1,22,2,2
37009208,992927,43801,32,23832,4285
37058494,1166669,22653,59,5953,1989
37034469,655,1,7,2,1
37055874,158886,3744,71,546,301
37043295,667334,3867,1905,8711,2264
37014114,717320,22897,944,4825,5870
36992540,126195,2978,35,938,462
36555908,234922,1544,3,611,56
36880479,453464,7144,5,2053,269
36958279,683,6,4,4,0
36966066,1155,3,44,58,6
36970677,567,0,12,6,1
36975245,1569,5,37,32,3
36967222,425,2,19,8,1
36973327,544,3,18,18,8
36949952,95298,1537,7,554,66
2570495,1325,250,4,28,1
36869076,28153,615,6,359,36
36880299,231403,1676,2,986,167
36877279,87563,2951,2,856,142
36879370,9897,54,55,148,20
36809311,912,0,2,22,0
36809285,980,1,2,21,1
36817231,783,5,20,105,8
36555397,227386,1687,2,814,50
36807473,218,3,14,4,16
36809833,859,1,12,29,6
36791775,8377,11,43,6,17
36743856,5021,29,94,19,9
36767711,659,4,15,2,5
36720314,489,1,4,10,0
36714961,599,0,5,20,0
36582004,188817,11687,281,1278,603
36700923,397185,3326,42,4950,1064
36667182,3731,49,16,203,11
36642780,2152,2,26,11,2
36644288,35879,90,2021,1134,89
36583113,186,1,4,2,1
36582572,534,0,5,11,0
36587564,19299,140,8,230,118
36574507,60,1,0,2,0
36588519,939312,16100,18,3705,1363
36587997,266468,7036,5,1986,560
36578729,246675,15888,21,2831,432
35953363,190521,1300,11,1130,211
36557991,155607,2060,41,379,103
36509688,1041152,18323,14,10936,1985
36492652,178564,3727,20,1338,155
36053063,254921,1649,2,625,60
35879858,657,1,8,2,1
36441105,544693,8175,6,1928,276
36457127,1184,12,26,42,11
36455464,175626,4835,20,1131,351
36432579,115187,2006,6,897,93
36442683,786,8,7,25,6
36442297,818,3,5,8,7
36364700,31541,381,11,415,27
36393383,1104,38,28,15,1
36381728,274769,1781,2,1026,93
36378232,105710,3760,2,1127,114
36377210,176709,3827,22,1047,225
36385743,205363,62,153,224,62
36373945,486,16,7,4,1
36374669,326,0,7,3,0
36377649,326,4,5,2,0
36287379,2556,1,76,33,7
36311127,1125,15,40,191,10
36212239,199094,6522,16,1133,146
36052331,246758,1534,2,569,64
36209585,196852,5825,22,1451,307
36225577,1288,6,28,21,1
36164966,4157,48,13,219,12
36186115,7946,433,136,53,15
36196487,421791,2710,39,4199,1132
36133985,466,0,6,19,1
36088691,28628,247,23,233,230
36121082,1368,16,13,18,4
36090013,238767,11730,20,1967,395
36058973,339,0,4,4,0
36005950,565,0,22,3,0
35833358,211738,2065,16,1358,238
36073093,450,0,2,4,1
36008289,1247881,16187,11,10327,2029
36053068,175535,4595,56,524,255
36008646,206383,4574,21,1194,197
35589438,265492,1755,3,534,64
35992492,2961,9,58,12,11
36000795,440,1,15,1,1
36003993,381,0,15,2,0
35938623,1493,1,2,2,0
35886101,601134,9834,6,2181,391
35973371,1336,4,43,4,5
35969110,652,5,36,7,1
35975306,230,0,17,1,0
35954374,134804,2747,7,1011,134
35953548,197795,4226,18,1021,221
35954516,1932,60,3,67,11
35872527,34934,678,18,465,40
35901912,671,4,12,10,1
35897925,912,5,9,5,5
35894462,361,2,4,1,1
35486363,12805,375,6,155,16
35892467,322800,1550,2,1233,107
35881758,212889,7198,28,1176,368
35848087,129897,3921,3,1257,171
34599500,4292,43,199,22,12
35818999,1579,18,48,210,13
35823229,211662,3261,19,1132,124
35588948,251916,1606,2,525,56
35619159,232478,4472,36,1296,257
35727100,468101,2893,44,4031,1154
35685158,6807,102,8,286,22
35630347,308308,16759,32,2451,601
35543102,776,1,8,12,1
35356509,207189,1474,10,1045,229
35530874,1551,1,3,5,0
35541608,1245773,18794,6,10115,1898
35577465,5698,64,7,62,14
35583181,222763,3784,138,827,340
35555805,245031,4626,22,1481,239
35552685,153721,6997,6,1883,319
35550191,744741,13947,12,5447,1852
35062867,291368,1627,2,569,50
35555258,1199,0,14,14,4
35528241,1630,0,2,4,0
35469089,678378,8676,5,2461,468
35479399,239966,6844,27,1877,359
35478417,158831,3415,10,1334,198
34399413,591,0,9,3,0
34396246,1537,11,80,6,6
35476771,957,2,12,13,18
35420988,40093,673,11,363,32
35464409,24547,453,13,222,52
35430942,248933,4321,19,1269,353
35404575,406817,2635,5,1185,166
35405684,548,0,17,8,1
35374011,871,4,64,13,9
35369154,1109,8,91,18,1
35344893,1731,9,40,181,14
35347241,257015,3462,15,1432,193
35062029,267764,1340,3,459,76
35351195,1183,3,88,27,5
35356171,835,0,3,12,7
35160303,258773,4257,29,1371,375
35273696,6247,76,4,217,17
35250708,512130,2934,49,5375,2071
35190283,41850,195,4,142,26
35156276,917,3,7,21,3
35135188,2728,19,85,15,11
35167967,392781,19418,38,3530,1353
34997027,463,0,2,5,1
35108057,183830,2996,2,1709,604
35107276,38938,370,2,339,107
35100409,727,4,8,12,2
35072017,4377,10,116,9,7
34991204,232055,1672,13,1257,226
35073271,3232,6,123,16,12
35067798,1329730,22042,8,13254,2203
35071305,4523,56,5,47,14
35047954,302537,6369,26,1583,384
34627002,289808,2060,3,502,69
35003155,1287,7,12,26,3
34929160,718751,8764,5,2994,498
35000656,188921,3665,15,1587,350
34997579,288536,2543,16,1387,262
35001886,38946,197,10,369,211
34932851,49036,660,14,435,42
34975240,814,6,28,7,7
34975176,796,1,16,4,1
34943159,1439363,6773,8,3652,999
34941331,528588,2073,2,2051,211
34928341,305741,6326,17,2995,337
34635658,34575,559,66,309,140
34872979,2269,2,2,11,1
34872967,1255,0,2,1,0
34899888,528,0,30,6,1
34900994,811,3,42,5,1
34865575,1346,9,41,194,14
34650589,2031,31,60,77,11
34867573,319842,8912,20,1768,265
34626401,281190,2331,2,598,70
34639517,340294,8203,24,2355,433
34744774,7433,92,6,210,13
34722529,933486,5157,5200,10389,3739
34708318,603,2,13,26,7
34691297,935,6,27,151,1
34769887,506349,2857,35,4539,1118
34489458,1436,0,6,26,2
34635060,56478,311,3,237,94
34635056,240634,2820,2,981,352
34506499,264976,2701,17,1991,598
34619752,49107,233,11,258,182
34554465,1437148,23761,12,15376,2183
34566387,12328,257,6,218,35
34159938,316474,2048,2,552,64
34395596,1230,6,68,11,10
34163500,1226,4,31,6,8
34507172,1430,32,9,24,4
34438229,809173,11202,8,3324,704
34438162,1942658,22471,26,6702,4268
34529585,302201,45,114,39,12
34512358,662554,7608,589,4110,1369
34451590,3615,87,5,78,32
34379857,65208,1125,14,689,51
34453006,962,1,2,18,0
34377120,2364,1,15,12,7
34478821,82342,9455,3133,435,142
34385425,2285,0,2,22,0
16347653,348,0,7,26,0
21090432,6176,25,246,40,6
34366326,1466,17,28,163,6
34158304,278978,2345,2,573,75
34320958,2888,20,142,61,8
34245936,567112,4932,53,4665,2054
34216603,8832,112,5,266,11
34210324,744,2,5,25,2
34077007,1083,0,5,25,0
34143198,61398,236,2,206,64
34143178,263699,2012,2,877,328
33484540,304843,4272,39,2884,926
34154900,2269,7,73,14,0
34154507,4866,52,169,23,5
34152556,3207,39,336,52,18
34152144,557,0,26,1,1
34145074,1730,4,54,3,0
34156301,654,6,33,3,1
34156469,593,2,16,1,5
34139700,422,0,10,1,0
34105118,2405,11,133,8,9
34103100,1019,0,39,5,1
34102638,504,0,24,2,0
34099851,532,0,21,1,0
34099641,1552,3,57,4,1
34152966,852,34,55,5,0
34137876,840,0,49,2,7
34083982,859,6,22,3,1
38645684,19,0,0,2,1
38632567,6852,18,188,155,3
38410571,19,0,1,1,0
38643345,111,1,1,7,0
38642940,30,1,0,2,0
38641894,219,18,12,10,3
38641891,881,6,12,2,0
38639375,159,0,6,10,1
38638737,10,0,0,2,1
38579746,120,0,5,10,0
38578312,48,1,2,4,1
38578428,24,0,0,2,0
38578694,10261,5,42,35,18
38578195,55,2,3,1,0
38576524,89,0,2,4,1
38576014,1310,10,80,66,4
38574402,104,0,0,5,1
38570538,11,0,0,2,0
38534979,120810,304,2573,2612,56
38509074,572,0,28,3,2
38536010,1290,7,14,17,1
38482818,1527,20,111,76,9
38570150,32,1,1,2,2
38569432,25,0,0,2,0
38570585,74,0,1,2,0
38570164,41,0,1,2,1
38567572,193,1,1,12,3
38541030,3399,22,32,75,8
38567339,66,0,1,6,1
38566059,71,0,1,4,0
38554335,56,0,2,4,4
38454098,2364,4,68,8,1
38565182,159,1,0,18,4
38563972,260,0,0,2,1
38565497,18,0,1,2,0
38563857,166,0,10,2,1
38562715,161,7,6,16,4
38561698,173,0,9,3,0
38561177,77,0,2,4,0
38561118,163,0,4,4,0
38559125,42,0,0,3,0
38557370,69,0,0,2,0
38558053,5460,40,59,52,18
38557378,91,3,3,2,1
38555516,3039,27,68,77,31
38554268,225,1,0,12,1
38556773,33,1,1,2,0
38556301,291,0,3,10,0
38556176,49,2,0,3,0
38551028,109,1,9,4,0
38555623,63,0,1,2,0
38556030,21,0,2,2,0
38553897,31,0,0,2,0
38553387,568,1,5,10,2
38553546,93,0,2,8,0
38552089,1532,87,212,86,3
38551094,38,3,0,4,1
38546949,115,1,3,4,0
38466602,1010,13,20,48,8
38550691,250,1,0,1,3
38548486,66,0,0,2,0
38549559,24,0,1,4,2
38547809,52,0,0,4,0
38545236,7621,23,333,93,7
38547817,41,0,4,3,3
38543848,46,0,1,2,1
38545549,13221,38,821,321,13
38543697,72,0,2,1,2
38542540,475,0,53,6,1
38542570,594,0,10,1,0
38543883,109,1,1,8,2
38542823,156,0,1,2,0
38540558,32,0,1,2,2
38539806,123,0,3,2,6
38517755,89249,71,1134,408,77
38538687,12053,202,721,126,38
38539031,86,1,8,1,2
38540160,125,0,0,2,0
38514180,40207,13,390,91,36
38539710,203,0,4,6,2
38538058,127,0,0,2,1
38538124,239,0,2,2,1
38516895,4196,7,82,27,10
38535793,340,1,6,9,4
38535363,157,2,9,18,3
38511018,2111,12,99,41,12
38496970,12305,17,1021,218,14
38535504,6125,10,254,45,24
38534156,923,2,45,3,2
38510029,205,2,6,6,0
38513132,875,3,19,3,2
38534529,102,1,3,2,6
38534114,5060,70,41,29,7
38533567,26,0,0,2,0
38533031,31,3,0,4,1
38532768,395,3,11,4,2
38531629,788,1,25,16,6
38532169,12,0,1,2,0
38531199,1233,7,15,5,9
38530942,172,3,7,10,2
38471957,557,6,22,34,2
38138567,503,0,10,2,1
38530264,58,0,0,2,2
38525543,35845,6,376,30,30
38526764,69354,64,1171,165,82
38529332,145,2,1,1,1
38502035,2474,131,40,145,20
38494716,909,0,28,11,5
38265986,3838,9,40,29,1
38528982,4035,5,88,12,8
38527169,590,0,15,3,3
38526102,5904,34,94,28,16
38526756,155,0,4,1,0
38526036,1142,2,65,8,4
38525867,18,0,1,2,0
38525538,843,0,12,4,0
38525699,27659,20,190,161,37
38525372,200,37,4,5,2
38499157,1028,1,19,6,1
37438356,220,1,13,7,0
38524161,14,0,0,2,0
38523307,37548,1275,1195,2831,272
38523052,2554,4,17,19,2
38522288,27,0,0,2,0
38521283,121,0,3,4,0
38521498,4211,72,117,67,14
38485891,354,8,5,10,2
38521933,28,0,2,1,0
38521434,149,1,3,2,0
38521606,989,0,13,6,0
38519860,4980,14,49,57,11
38520224,2068,4,25,27,6
38519677,64,0,2,4,0
38520250,166,1,3,2,0
38520484,105,0,0,2,1
38517652,160,0,1,1,1
38516926,191,5,3,8,4
38517106,14,0,0,2,0
38516725,40,0,1,2,0
38516567,1495,20,82,22,6
38516927,65,0,3,2,0
38516460,35933,11,83,88,23
38512711,62376,171,270,444,71
38516058,193,0,14,1,10
38515400,417,0,4,2,1
38512785,95911,127,1086,659,670
38513828,41,0,3,4,0
38513788,14382,73,147,158,59
38513881,49,0,1,2,2
38512974,620,0,34,4,0
38513153,174,6,7,8,4
38512010,171,1,7,2,1
38497234,639,1,21,2,0
38511592,1542,0,11,30,2
38510733,434,0,9,4,1
38510923,160,0,6,2,2
38509811,2812,14,28,26,6
38510149,7,0,0,2,0
38509310,463,4,9,17,2
38509607,116,0,2,2,3
38508397,339,7,1,8,3
38508446,240,6,12,2,2
38508085,345,0,28,10,3
38507433,19545,35,358,116,13
38507706,71,0,0,1,1
38506243,730,0,68,10,7
38506332,20903,97,677,964,72
38506363,55,0,4,2,1
38499617,3944,0,15,5,1
38504501,160,0,8,3,1
38504440,58,0,5,3,3
38503951,41,2,3,4,0
38503263,40,3,1,2,4
38503934,74,0,3,5,0
38502704,194,3,13,42,6
38502600,12,0,0,2,0
38502602,119072,193,5456,1144,77
38502408,202,0,1,2,1
38636142,23,1,2,10,4
38635862,30,0,2,1,0
38627182,143,0,3,1,0
38634855,42,0,7,1,0
38622223,47,0,1,2,1
38634859,22,0,0,2,2
38634192,69,0,3,10,1
38630147,160,0,7,9,4
38629226,72,0,2,2,2
38627884,89,0,5,2,0
38629866,5,0,0,1,0
38627556,144,0,1,6,1
38630347,105,2,1,2,1
38501385,434,1,3,10,2
38500993,3190,6,11,1,1
38501324,58,0,2,6,0
38486486,140116,616,4064,5550,190
38499956,53,0,0,2,0
38500642,111,3,2,6,3
38486458,5087,241,63,4,8
38488435,878,4,42,14,1
38497704,89,0,1,4,0
38486764,613,1,3,4,0
38497557,3890,8,48,8,5
38497132,1054,0,13,1,0
38497434,54,0,1,2,1
38497261,2678,0,11,7,0
38462353,92,0,4,1,1
38496507,396,7,29,19,2
38496598,105,0,1,1,0
38494116,139,1,0,4,2
38476972,141,2,2,8,1
38628875,181,0,1,6,2
38631180,41,1,0,2,0
38630156,76,0,0,2,1
38625788,24,0,1,4,0
38628477,103,0,0,18,0
38622533,109,0,6,4,0
38628062,22,0,1,2,1
38622302,24,0,3,4,0
38621802,12,0,1,2,2
38627159,16,1,1,2,0
38626428,24,0,1,2,1
38620948,24,0,2,2,0
38626598,32,0,1,6,0
38625214,109,0,4,4,1
38624479,294,0,42,4,0
38619994,9,0,0,1,0
38624714,34,1,2,8,1
38624196,65,0,5,2,0
38624256,58,0,1,2,2
38619209,14,0,0,1,0
38623335,84,0,0,2,0
38623243,3361,5,285,28,1
38622011,41,0,0,2,0
38617263,54,0,3,1,2
38621901,179,0,4,8,1
38620161,266,7,9,9,2
38619933,118,1,2,10,0
38616230,190,0,0,6,1
38619472,34,0,1,1,0
38617007,40,0,2,2,0
38616127,8,0,0,2,0
38617207,157,3,4,10,2
38613998,961,2,6,2,2
38612272,49584,35,261,79,18
38612606,448,1,9,2,5
38588966,689,0,3,3,0
38611825,225,4,11,10,0
38609329,72,0,4,4,2
38297908,29,0,0,2,0
38609695,495,0,6,3,1
38172272,37955,8,367,48,8
38584465,14234,16,1161,163,7
38610115,264,1,5,2,0
38603743,17971,214,579,472,47
38605473,54311,48,473,167,32
38608340,369,2,6,2,4
38604616,185,1,4,2,6
38605748,90,1,4,4,3
38582862,36,0,3,2,1
38602994,155,2,10,8,0
38581060,138,0,3,2,1
38502051,4030,0,5,4,4
38468677,28173,105,1715,1025,34
38601650,1429,11,30,72,11
38599393,53,0,0,2,1
38586203,40,0,1,4,1
38601960,1893,1,25,6,0
38597672,89,3,1,5,2
38600071,14,0,1,2,0
38598869,162,0,4,8,2
38598912,4380,10,63,8,1
38583496,76,0,9,5,0
38597765,65,0,3,6,1
38599750,19984,80,1898,397,18
38598307,1185,12,35,16,1
38595944,22,0,0,3,0
38583161,181975,311,10649,4731,272
38597039,15,0,0,2,0
38363121,178,0,0,2,0
38554691,1027,4,55,37,8
38553779,15256,58,633,314,13
38595934,527,1,10,1,1
38597671,372,1,4,2,0
38595779,133,1,0,2,4
38595318,77,0,3,2,0
38594599,4122,21,325,95,5
38557327,199,0,14,9,0
38596033,77,0,0,8,1
38516672,9434,23,548,87,11
38589797,18,0,0,2,1
38590986,37,0,0,2,1
38589866,50,1,1,8,1
38588034,228,0,3,2,0
38590782,2717,13,224,52,8
38589161,270,0,9,21,2
38589710,162,4,14,24,1
38590409,91,0,3,2,1
38591455,204,0,13,2,1
38588689,223,3,15,40,5
38585863,19,2,1,4,0
38587158,20883,2,1302,196,14
38588565,99,1,5,15,4
38571932,5495,229,135,119,34
38571769,90030,155,1674,530,45
38587184,2668,2,163,22,5
38587139,389,2,2,13,3
38587731,262,0,8,2,0
38585294,64,0,1,4,2
38543746,32553,154,1439,1367,32
38586498,2079,6,16,22,1
38584653,300,1,16,3,0
38583848,83,0,8,5,2
38582392,2577,15,53,61,11
38583650,66,0,2,4,0
38583835,156,0,5,3,0
38583472,90,0,3,2,0
38582118,101,0,3,6,3
38581499,2340,6,150,42,1
38581175,2485,1,25,6,1
38579205,15,0,1,2,0
38638167,26,0,0,2,0
38605029,97,0,3,1,0
38562350,1024,5,30,57,0
38555562,312,0,10,13,0
38536039,202,0,20,1,1
38534789,359,0,11,9,10
38528284,8063,5,396,29,24
38499726,5034,0,13,16,2
38509018,2797,1,215,26,7
38505435,182,0,8,2,0
38383133,3413,0,31,7,8
38498404,1205,0,32,10,5
37394157,25,0,3,2,2
37393027,694,6,34,13,10
37388101,1837,25,289,208,40
37385399,473,0,27,4,11
37384748,1886,0,93,8,12
37383853,52,0,9,1,1
37383289,375,0,35,2,2
37368797,72,0,7,4,0
37367495,74,0,8,4,0
37362652,171,0,14,4,2
37359316,114,0,14,2,0
37345915,364,0,17,8,0
37315670,1591,0,25,24,6
37335960,1261,0,54,3,14
37328327,6971,23,786,90,77
37328474,66,0,4,3,0
37324542,122,0,5,1,0
37322643,487,0,33,1,6
37320659,100,0,2,1,6
37315095,24053,4,948,42,422
37307859,97,0,1,2,0
37289519,121,1,3,5,3
37266424,580,0,25,10,6
36875019,6005,13,1250,164,84
37266786,265,2,0,12,0
37250722,53,0,8,1,0
37251793,56,0,7,3,0
37240862,75992,29,8003,420,988
37233553,489,0,29,4,1
37237381,418,0,38,1,1
37230794,3192,0,144,6,29
37216923,2363,10,76,120,14
37222802,1990,0,71,3,53
37219289,3551,8,413,132,22
37208480,227,1,5,6,0
37209342,287,0,5,4,0
37163779,9129,33,510,66,63
37147816,4642,35,232,286,17
37139362,284,0,16,2,0
37139656,940,0,57,2,2
37139830,676,1,88,3,9
37139520,188,0,12,1,0
37139279,217,0,23,1,0
37139036,167,0,12,1,0
37138625,120,0,16,1,0
37138499,233,0,37,2,2
37138138,168,0,18,1,0
37138728,109,0,16,2,0
37138334,384,0,22,1,0
37137853,5062,2,169,4,10
37137590,278,0,35,2,6
37137254,1124,1,39,2,7
37137070,384,0,32,1,0
37137017,656,0,35,1,0
37136444,254,0,20,2,1
37135785,3051,1,172,5,12
37135905,100,0,10,1,0
37133538,321,0,28,8,0
37133767,1182,0,82,5,3
37131983,917,0,16,19,0
37112383,2915,1,30,10,7
37111786,2569,0,16,4,5
37112969,2428,0,6,2,9
37112232,2388,0,11,2,8
37110413,2413,0,11,4,15
37110137,2360,0,3,2,7
37110346,2504,0,16,4,5
37107168,122,0,8,2,0
37107089,2209,0,6,9,4
37107850,2432,0,23,2,6
37107297,2149,0,4,2,6
37107415,2207,0,7,2,8
37105007,103,0,15,1,1
37103555,2240,0,3,1,7
37007219,2304,0,63,15,17
37084656,2635,1,9,5,9
37085055,2535,0,2,2,6
37084115,3469,0,51,6,11
37084291,2338,0,5,2,8
37084221,2560,0,20,6,7
37083193,2676,0,34,2,9
37082404,2455,0,5,2,5
37083897,12661,88,1391,224,85
37079499,2143,0,2,2,2
37081272,2316,0,2,3,2
37077490,2316,0,4,2,7
37077378,316,0,40,3,0
37076293,106,0,8,2,1
37075517,10108,9,1141,37,111
37076826,474,0,58,4,5
37069632,3570,0,3,1,7
37074709,3363,0,3,2,8
37072742,3402,0,3,6,6
37073252,759,1,43,2,0
37071076,3550,0,9,1,7
37068424,1178,3,66,22,2
37061217,66,0,4,4,7
37052407,303,0,18,3,1
37042761,220,0,2,2,6
37037325,3336,0,0,1,10
37041340,206,0,4,4,0
37034368,3296,0,3,2,10
37037708,298,2,9,2,12
37034289,129,0,3,1,2
37030343,1089,0,19,1,55
36925477,2874,0,39,2,44
37014286,295,0,27,3,7
36975206,72612,177,7379,952,837
36983875,39,0,3,2,0
37008192,115,0,10,1,0
37006907,3421,0,6,2,8
37005783,3400,0,6,2,7
36994204,47428,29,3152,172,753
36981658,624,0,40,14,1
36968274,92,0,0,2,0
36926056,2826,0,108,18,16
36957914,2584,0,97,6,86
36945966,62,0,3,1,0
36955728,1287,0,80,6,13
36948307,15065,3,966,94,80
36904542,2530,5,438,38,24
36943278,10889,5,1253,91,159
36943082,1725,0,99,27,3
36941290,136,0,5,2,0
36942149,1572,1,55,4,14
36940259,447,0,42,2,6
36939599,738,0,45,4,9
36938738,227,0,21,1,1
36937628,3752,13,246,110,74
36936165,60,0,10,1,2
36927988,676,1,70,2,2
36924036,1800,4,189,35,12
36924165,17854,19,1077,141,61
36924171,53139,25,1280,79,404
36923213,1039,0,69,15,22
36920086,269,0,9,2,8
36918821,104,0,4,1,5
36907717,259,0,12,1,11
36904843,123,0,4,2,7
36306801,1543,1,46,7,12
36887020,132,0,4,2,1
36879653,4399,11,394,30,65
36864086,737,0,22,1,0
36859636,1489,0,53,12,6
36858719,31059,1,1670,40,657
36844895,13620,0,1069,79,100
36509416,2661,0,98,21,12
36822091,374,0,58,1,7
36820380,381,0,23,2,16
36818613,2456,0,119,4,35
36802916,12187,16,2967,260,131
36803373,513,12,18,41,17
36810953,7274,14,789,74,34
36808972,137,0,16,1,0
36794753,3103,0,146,11,44
36793420,7929,12,412,15,34
36786645,134,0,8,2,1
36779694,84,1,0,2,0
36770764,45596,55,1655,89,1677
36770212,2811,10,141,11,38
36776161,1077,0,11,1,44
36508967,3595,1,79,10,17
36739638,145,0,14,1,0
36739698,1397,0,24,1,45
36739113,840,17,8,52,1
36734337,126,0,16,1,1
36714547,173,0,11,3,5
36673011,287,0,26,1,2
36670004,1404,0,46,2,20
36457068,1781,0,18,26,7
36653926,6275,11,210,41,34
36657774,264,0,8,2,2
36652305,241,0,24,1,1
36652978,1038,3,104,7,11
36641577,19254,16,991,35,131
36632979,4408,0,220,25,36
36629453,725,0,22,1,8
36626984,2333,2,125,1,38
36626935,372,1,29,2,8
36621356,2758,0,214,26,197
36615614,258,1,15,4,8
36613074,932,2,24,7,12
36614107,3956,53,72,47,75
36611102,210,2,1,2,0
36593388,267,0,5,2,2
36595332,598,0,8,22,0
36568304,1336,0,63,4,54
36586497,2870,0,32,4,6
36559564,1839,0,102,9,71
36579921,1095,14,71,30,13
36579009,2892,5,208,35,50
36579199,1182,2,70,1,26
36578220,30133,137,2277,304,349
36566958,2203,2,187,48,18
36493734,1397,0,44,12,26
36545030,114523,406,10705,8009,1465
36533752,21941,3,673,35,38
36524735,16365,35,1332,217,73
36516537,3632,1,271,10,215
36510235,999,4,56,13,9
36499263,171,0,9,1,2
36493601,21393,1,771,38,580
36461474,36118,192,2790,1452,305
36474709,1500,0,12,4,16
36470217,4004,20,59,21,5
36468763,5368,63,239,20,31
38483963,174,0,5,1,0
38458079,794,2,49,30,1
38460159,181,0,10,1,0
38206226,95,0,3,2,2
38437651,5782,3,265,44,84
38407576,247,0,8,5,2
38429382,1549,1,153,28,13
38408777,417,0,10,2,1
38408175,367,0,13,11,2
38404026,115,0,4,1,0
38406301,527,0,28,2,9
38392167,108,0,3,2,0
38389835,47,0,2,1,0
38389429,5200,21,175,33,8
38386106,277,0,8,2,4
38381915,31373,34,2524,719,294
38205610,692,0,50,11,14
38375254,76,0,4,2,1
38373909,170,0,7,4,0
36452309,53548,22,3787,125,471
36447708,5056,7,721,34,41
36446496,3907,7,284,13,249
36442166,3189,0,497,34,13
36441000,10822,1,665,8,280
36439632,1174,0,223,9,11
36428833,20554,84,1472,746,287
36427203,9300,3,432,74,78
36420757,6418,1,381,27,314
36313363,70497,135,6862,2792,818
36328786,1178,0,9,4,0
36379231,6965,1,232,42,52
36391609,2475,0,23,1,25
36387018,136,0,9,1,0
36380925,13617,53,1250,320,321
36374864,2406,13,235,4,20
36374733,299,0,37,1,1
36370164,1337,1,57,1,10
36368492,492,2,79,3,1
36362890,15493,4,970,30,304
36362289,78,0,2,1,0
36362181,3052,0,61,2,32
38362878,305,0,8,15,4
38358575,156,0,5,1,0
38356334,189,0,15,1,3
38353072,205,0,19,1,0
38351222,78,0,4,1,0
38349364,150,0,7,10,0
38326310,117,0,12,1,0
38329273,173,0,5,2,0
38301924,649,1,9,11,6
38304792,922,0,85,4,15
38130805,789,0,3,5,1
38298811,1082,2,116,11,21
38300693,13341,4,704,32,429
38245349,89,0,2,1,0
38225988,1017,10,120,72,21
38225614,158,0,16,1,2
38225311,386,3,19,9,4
38164897,17866,44,1000,209,367
38225214,2401,5,71,14,9
38223115,91,0,11,2,1
38130623,969,0,4,8,0
38208570,1196,1,143,38,22
38192577,2769,0,120,16,28
38189420,1435,0,62,18,11
38169519,442,1,62,1,2
38169205,2053,0,7,13,1
38151167,228,0,3,2,0
38130002,1064,0,6,16,3
38149026,50,0,1,2,0
38141307,1092,1,17,24,4
38140892,1059,1,40,31,16
38021552,219,1,6,2,1
38138784,4726,8,217,45,28
38048798,237,0,7,1,3
38121450,1849,1,83,22,3
38121785,101,0,2,2,1
38108542,1261,0,22,14,15
38108426,543,0,14,3,6
38073771,92,0,2,6,0
38053325,907,1,24,7,3
38048392,754,0,41,3,6
38063504,13894,16,647,45,95
38060660,114,0,10,1,0
38056551,1380,0,74,24,45
38057265,6017,0,290,22,150
38044296,1358,1,80,7,20
37939346,1233,0,18,10,5
38000141,108,0,8,1,0
37994997,2705,0,50,7,30
37985951,61,0,0,3,3
37919669,50331,269,2555,1757,255
37977058,158,1,14,1,1
37976049,2752,0,134,23,21
37966333,805,0,22,5,35
37964188,1178,0,13,4,0
37961401,102,2,4,3,0
37946112,18028,7,2020,224,241
37943567,106,0,10,1,0
37895825,8372,17,181,73,64
37939746,434,10,25,84,20
37937117,51,0,0,2,1
37915214,771,0,13,5,4
37932379,413,0,22,2,13
37927502,254,0,29,7,1
37915824,3724,0,174,29,60
37907678,2296,4,212,20,6
37907516,1750,8,68,6,19
37900899,401,0,16,1,1
37901284,444,1,23,13,4
37894543,329,0,8,4,0
37896723,184,0,5,7,0
37893702,471,0,13,2,3
37892132,78,0,0,4,0
37894434,2675,0,143,4,50
37889517,177,0,8,2,2
37825199,133,0,4,2,0
37555792,600,0,9,1,1
37868564,6028,14,100,97,31
37867942,2432,10,135,48,53
37861546,1809,15,52,20,9
37860725,524,0,20,2,3
37855087,108,0,4,1,0
37853856,88,0,10,1,0
37848887,1288,2,85,16,26
37829586,18900,6,1229,106,101
37807832,375,0,16,27,0
37554977,1284,0,8,16,0
37792250,27,0,1,2,0
37789195,972,0,50,17,5
37789667,266,0,4,12,6
37782711,19241,84,1895,669,154
37783358,190,0,4,1,2
37772584,278,0,19,1,1
37763347,1921,4,41,4,8
37743979,498,0,34,1,4
37744821,734,0,25,3,6
37715216,563,0,33,17,8
37713006,1092,0,90,12,18
37705473,724,0,25,13,16
37667655,19028,1,627,41,551
37554209,1502,1,9,25,2
37694151,4929,0,208,21,96
37693548,405,0,10,2,0
37682958,4495,5,214,30,19
37674653,399,0,7,6,0
37674896,392,0,44,4,3
37668471,63,0,1,1,0
37646388,635,0,52,8,6
37646035,362,0,36,8,9
37640039,1816,21,182,68,7
37613990,730,3,4,39,2
37553525,1125,0,19,7,5
36633620,769,0,42,16,10
37593017,2150,0,48,11,24
37583840,281,1,38,1,1
