id,name,rank,fans,articles
22207,天衣無縫の亡霊,0.0007986052459810043,3607,560
76906,消逝的冷月光年,0.0002792634631686873,1258,27
7329,にまび,0.00126687955893321,2291,27
72960,佐仓•M•沙耶加,0.0004303529804525857,3946,146
633544,魂淡蓝调,0.00037718617910559185,1274,14
21666,暴躁的蘑菇汤,0.0014699497069346412,11247,136
16988,Pain,0.00035794658483542455,3707,1006
895617,CME6大神犬,0.00028092452432021647,11292,363
1114947,HolyFool,0.0010174240779675216,4993,48
353340,AC娘的香蕉,0.00025623011483346883,1138,98
652315,〈一方通行〉,0.00044834324609993733,2307,4
3401,szrxs,0.000506149305783121,3241,93
910047,蓬莱の半玄月,0.0002562301130178327,1364,3
4160775,ELS·project,0.00025623011230680896,1024,5
92916,八月之桂AS,0.002359484673636348,1829,25
151066,喜欢拉面,0.00026555107825244575,2061,166
426662,老丁同志,0.000684717067806795,1061,62
770609,枫踏岚,0.0002841148987079214,2125,21
753437,sun_n,0.0002595212136434691,2143,22
33733,熊仔,0.00025623011159602336,1037,117
445453,狗修金萨玛,0.00042185006223521056,2631,405
2901630,新堂爱卖萌,0.0003046701483099522,1902,5
375235,独翼神龙,0.00033661103286666637,1548,13
113711,疾風醬,0.0005711393641113533,16120,125
240488,Maius酱,0.0007004785799711031,1708,5
1782572,Smosh中文速递,0.0003810636724565768,2159,109
143422,射我一脸,0.0005000044208467584,2527,39
2734646,View,0.0007663959347032668,1656,10
365031,上蒸小笼包,0.0002562301054505725,1686,42
229893,mikeztm,0.0006199384909807904,22883,66
294047,纪念,0.003134893681293996,9072,57
275085,wispering4u,0.0003801733250515703,4808,12
218084,鱼翅旺馒,0.0003044392611091929,1488,1739
649979,NancyWu境,0.0003295221441540215,4178,54
31685,死魂蝶,0.0014666604807999468,2147,396
65061,meiling,0.0010570052881183037,1536,357
215210,瑷珥,0.0011265232665483781,3922,39
445931,mlsao_SF,0.0005480304171529058,2439,64
440805,齾纛爨麤龘彠齉,0.00028370614325906124,2348,290
927687,折腾5号,0.0006872079670038927,8020,59
1748373,某科学的cc君,0.0003096039078749926,1165,2
1978,超监督乌鸦,0.0009036617377551335,2885,124
732364,腾讯动漫,0.0009233032857335706,38049,237
421190,GuDong,0.0006085117965844324,14455,1931
102402,克苏恩触手,0.00028167392397771115,2025,138
10255,三硝基甲苯,0.0005273898625651665,7396,29
437309,viya,0.0003210973340568921,1267,23
26815,板砖,0.0003909816403478391,2535,281
1495294,真言术孕,0.00033764215688799443,4891,16
886671,KXDDR,0.0005119175853699061,1868,19
2233243,BilibiliMAD大赛,0.00031041609996545415,1961,81
2120164,小西alice,0.00025623009579434834,1632,45
88153,mafiaflys,0.0010748147318645795,1720,138
452153,奥夫,0.0002946279602246891,8084,21
138142,御坂1OO86,0.0006820242524663207,19551,106
176934,オルゴール,0.001939914727237917,1158,28
155616,西国之海妖,0.0007767594192118499,16597,44
3589472,光学核心,0.0006205233098191774,1069,1
533392,M子子子子子子子,0.0003374420132725303,1051,38
2,碧诗,0.006060361532911105,26628,36
