id,rank
374377,0.038602039
673816,0.035225605
70093,0.012560723
143172,0.011773867
52363,0.008793283
11167,0.008792115
43536,0.008480115
93066,0.006192333
18232,0.006173151
2,0.006060362
172683,0.005906396
197864,0.005800363
288239,0.00578091
528476,0.005669055
168598,0.005417647
2648,0.005192559
99224,0.005140151
1348,0.004965514
11073,0.00472162
883968,0.004647835
7872,0.004552085
24381,0.004529389
122879,0.004398867
1492,0.00437109
599462,0.004208447
2686630,0.004182731
116683,0.004077223
124416,0.004067033
2634,0.004012732
748709,0.003768319
329932,0.003550412
433351,0.003481204
234782,0.003406854
79,0.003392287
2284412,0.003386591
207218,0.003379768
546195,0.003303711
891124,0.003275084
78859,0.003216086
294047,0.003134894
317922,0.003095434
179628,0.002966064
131592,0.00295865
56613,0.002899486
419220,0.002877401
100691,0.002796944
78270,0.002766342
184568,0.002765865
236260,0.002765276
258352,0.002723187
139905,0.002666706
81192,0.00265118
425642,0.002633532
1643718,0.002625203
145716,0.002563072
282994,0.002558822
324879,0.002553264
5632,0.002541528
88358,0.002536344
26597,0.002506568
585267,0.002497881
103835,0.002465238
201434,0.002452343
16,0.002430721
391679,0.002414543
92916,0.002359485
16450,0.002340504
45750,0.002310084
175404,0.002306123
53261,0.00228428
337219,0.002278892
5681,0.002266572
7105,0.002255884
43861,0.002254422
8839,0.002238844
5055,0.002231335
319291,0.00222911
119418,0.002211975
2548989,0.002208803
436910,0.002205059
927587,0.002196258
19653,0.002181174
294646,0.002177851
284120,0.002148043
7714,0.002122522
310726,0.002117223
13490,0.002109781
156489,0.002103498
1433840,0.002087541
133076,0.002083692
6196,0.002078873
292445,0.002075002
606229,0.002069274
580905,0.002059483
19919,0.002046334
2059591,0.00202958
62776,0.002027202
97,0.002015126
381738,0.001991434
62093,0.001989049
136093,0.001986188
186263,0.001983257
137409,0.001973381
72826,0.001965405
379922,0.001959765
176934,0.001939915
25753,0.001925638
643403,0.001918941
30992,0.001903269
138892,0.001878905
500198,0.001875911
3020100,0.001845179
62173,0.001825293
31129,0.001815098
271126,0.001807262
99673,0.001791812
512480,0.001789177
59359,0.001787852
313485,0.001781328
614735,0.001771209
219909,0.001757697
346059,0.001715149
58752,0.00166609
89595,0.001656327
2306780,0.001643044
269947,0.001638332
186935,0.001631522
10698,0.001621925
2304046,0.001608206
621614,0.001589599
111010,0.001586121
238289,0.001582299
159,0.001577438
423895,0.001561356
322892,0.001526317
925,0.001524418
608,0.00151536
3351,0.001508858
111362,0.001503062
61886,0.001501859
1492811,0.001496835
259644,0.001494497
186535,0.001489288
190832,0.001488504
255468,0.001486507
1327059,0.001480478
16773,0.001471417
21666,0.00146995
137952,0.001468976
31685,0.00146666
120586,0.00146221
59948,0.001458996
472346,0.001451995
927137,0.001443771
97087,0.001442055
808171,0.001420278
269558,0.001409847
65163,0.001390744
13046,0.001379698
353655,0.00137873
35994,0.001374119
175098,0.00136839
67803,0.001363634
212230,0.001354187
286169,0.001353498
112428,0.001353048
320838,0.00134799
33696,0.00134414
19523,0.001342665
