id,rank
374377,0.109906428
673816,0.099647125
70093,0.047061102
143172,0.044615062
116683,0.02779969
43536,0.024804175
2,0.024712057
11073,0.024671024
79,0.018100121
883968,0.017957581
425642,0.017561362
512480,0.015063888
288239,0.014990095
234782,0.014482889
1492,0.014226488
93066,0.014084787
282994,0.013785361
546195,0.012971019
88358,0.012192138
145716,0.01189891
16450,0.01173481
139905,0.011585851
5055,0.010520539
891124,0.010150554
391679,0.010072533
103835,0.00988774
419220,0.009848025
808171,0.009682476
614735,0.009302925
19919,0.009147766
585267,0.008921407
500198,0.008845047
201434,0.008829346
2059591,0.008819341
168598,0.008629556
433351,0.007908756
109,0.007438203
244069,0.007338692
748709,0.007310215
40217,0.007263404
927587,0.007164589
256157,0.006828656
156160,0.006742791
13046,0.006714225
122879,0.006544272
423895,0.006334805
216025,0.006243042
680417,0.006195647
197864,0.005995481
2188438,0.005995479
120586,0.005911511
236260,0.005885361
319291,0.00538773
7349,0.005254121
324879,0.00521374
112428,0.005117805
132704,0.00490717
137952,0.004869293
149592,0.004774371
2284412,0.004703389
206797,0.004676616
256763,0.004661193
2884629,0.004643637
229893,0.004643637
61112,0.004535707
579538,0.004457398
925640,0.004443489
381738,0.004430625
113711,0.004343023
461632,0.00434302
384762,0.004251734
1643718,0.004251725
461637,0.004244265
19653,0.004244265
196273,0.004244259
138142,0.004244258
284114,0.004244257
207087,0.004051583
3020100,0.004051583
155616,0.004051581
284424,0.00405158
684169,0.00405158
341368,0.004051579
1324413,0.004051578
901072,0.004051577
928123,0.004051577
30160,0.004051575
732364,0.004051575
